,step,train_acc,valid_acc,train_f1,valid_f1,train_loss,valid_losss
0,186,0.5136042833328247,0.6561922430992126,0.5136042833328247,0.6561922430992126,0.5136042833328247,0.6561922430992126
1,373,0.7269062995910645,0.7190388441085815,0.7269063591957092,0.7190389037132263,0.7269063591957092,0.7190389037132263
2,560,0.7742694020271301,0.7597042322158813,0.7742694020271301,0.7597042322158813,0.7742694020271301,0.7597042322158813
3,747,0.8118911385536194,0.7837338447570801,0.8118911385536194,0.7837338447570801,0.8118911385536194,0.7837338447570801
4,934,0.8307020664215088,0.7874307036399841,0.8307020664215088,0.7874307036399841,0.8307020664215088,0.7874307036399841
5,1121,0.841451108455658,0.8003696799278259,0.8414510488510132,0.8003696799278259,0.8414510488510132,0.8003696799278259
6,1308,0.8495129346847534,0.80406653881073,0.8495129346847534,0.80406653881073,0.8495129346847534,0.80406653881073
7,1495,0.8548874855041504,0.8059149980545044,0.8548874855041504,0.8059149980545044,0.8548874855041504,0.8059149980545044
8,1682,0.8710110783576965,0.8133087158203125,0.8710110783576965,0.8133087158203125,0.8710110783576965,0.8133087158203125
9,1869,0.8720188140869141,0.8151571154594421,0.8720188140869141,0.8151571154594421,0.8720188140869141,0.8151571154594421
10,2056,0.8884783387184143,0.8096118569374084,0.8884783387184143,0.8096119165420532,0.8884783387184143,0.8096119165420532
11,2243,0.884447455406189,0.8225508332252502,0.884447455406189,0.8225507736206055,0.884447455406189,0.8225507736206055
12,2430,0.8948606252670288,0.8225508332252502,0.8948606252670288,0.8225507736206055,0.8948606252670288,0.8225507736206055
13,2617,0.8978837728500366,0.8188539743423462,0.8978837728500366,0.8188539743423462,0.8978837728500366,0.8188539743423462
14,2804,0.9096405506134033,0.8188539743423462,0.9096405506134033,0.8188539743423462,0.9096405506134033,0.8188539743423462
15,2991,0.9049378633499146,0.807763397693634,0.9049379229545593,0.8077634572982788,0.9049379229545593,0.8077634572982788
16,3178,0.9106482863426208,0.8280960917472839,0.9106482863426208,0.8280960917472839,0.9106482863426208,0.8280960917472839
17,3365,0.9140073657035828,0.8170055747032166,0.9140073657035828,0.8170055747032166,0.9140073657035828,0.8170055747032166
18,3552,0.9210614562034607,0.8170055747032166,0.9210614562034607,0.8170055747032166,0.9210614562034607,0.8170055747032166
19,3739,0.9203896522521973,0.8133087158203125,0.9203896522521973,0.8133087158203125,0.9203896522521973,0.8133087158203125
