,step,train_acc,valid_acc,train_f1,valid_f1,train_loss,valid_losss
0,278,0.3381989598274231,0.35606059432029724,0.3381989598274231,0.35606062412261963,0.3381989598274231,0.35606062412261963
1,557,0.4264540672302246,0.38203462958335876,0.4264540672302246,0.3820345997810364,0.4264540672302246,0.3820345997810364
2,836,0.465753436088562,0.3950216472148895,0.465753436088562,0.3950216472148895,0.465753436088562,0.3950216472148895
3,1115,0.4886593222618103,0.39393940567970276,0.4886593222618103,0.39393943548202515,0.4886593222618103,0.39393943548202515
4,1394,0.5050527453422546,0.4220779240131378,0.5050527453422546,0.4220779240131378,0.5050527453422546,0.4220779240131378
5,1673,0.5230181813240051,0.42099568247795105,0.5230181813240051,0.42099568247795105,0.5230181813240051,0.42099568247795105
6,1952,0.532225489616394,0.4166666567325592,0.532225489616394,0.4166666567325592,0.532225489616394,0.4166666567325592
7,2231,0.5409836173057556,0.4231601655483246,0.5409836173057556,0.4231601655483246,0.5409836173057556,0.4231601655483246
8,2510,0.5477206110954285,0.42965367436408997,0.5477206110954285,0.42965367436408997,0.5477206110954285,0.42965367436408997
9,2789,0.5558050870895386,0.4264069199562073,0.5558050870895386,0.4264069199562073,0.5558050870895386,0.4264069199562073
10,3068,0.5697282552719116,0.43831169605255127,0.5697282552719116,0.43831169605255127,0.5697282552719116,0.43831169605255127
11,3347,0.5755670070648193,0.43073591589927673,0.5755670070648193,0.43073591589927673,0.5755670070648193,0.43073591589927673
12,3626,0.578486442565918,0.4426406919956207,0.578486442565918,0.4426406919956207,0.578486442565918,0.4426406919956207
13,3905,0.5876936912536621,0.44480520486831665,0.5876936912536621,0.44480520486831665,0.5876936912536621,0.44480520486831665
14,4184,0.5910621881484985,0.4339826703071594,0.5910621881484985,0.4339826703071594,0.5910621881484985,0.4339826703071594
15,4463,0.6018414497375488,0.4350649416446686,0.6018414497375488,0.4350649416446686,0.6018414497375488,0.4350649416446686
16,4742,0.6119470000267029,0.4426406919956207,0.6119470000267029,0.4426406919956207,0.6119470000267029,0.4426406919956207
17,5021,0.6157646775245667,0.44155845046043396,0.6157646775245667,0.44155845046043396,0.6157646775245667,0.44155845046043396
18,5300,0.6218279600143433,0.43831169605255127,0.6218279600143433,0.43831169605255127,0.6218279600143433,0.43831169605255127
19,5579,0.6332809329032898,0.44805195927619934,0.6332809329032898,0.44805195927619934,0.6332809329032898,0.44805195927619934
20,5858,0.6402425169944763,0.4556277096271515,0.6402425169944763,0.4556277096271515,0.6402425169944763,0.4556277096271515
